Isp 90d, 90d
980.0,-2.317121943132367
1000.0,-2.2856709296438527
1020.0,-2.3081709203905616
1040.0,-2.3829519150383494
1060.0,-2.508349980309369
1080.0,-2.828026586986214
1100.0,-3.173760148430963
1120.0,-3.5626351840348174
1140.0,-3.9928722725232313
1160.0,-4.462705395272872
1180.0,-4.790508999627818
1200.0,-4.8920358650853615
1220.0,-5.0212690618119264
1240.0,-5.177211850280576
1260.0,-5.358885702395573
1280.0,-5.563480691797677
1300.0,-5.747015228883761
1320.0,-5.943543156933866
1340.0,-6.161101013463945
1360.0,-6.398864796175327
1380.0,-6.656023684601137
1400.0,-6.886825988621243
1420.0,-7.058472186455182
1440.0,-7.245197723743041
1460.0,-7.446409405613591
1480.0,-7.661526061392484
1500.0,-7.889977905727684
1520.0,-8.127749157446388
